"estado","ano","homicidios","populacao","desigualdade","taxa_homicidios"
"PA",2015,3675,8175113,"14.03","44.95350706467299000000"
"PA",2016,4223,8272724,"13.68","51.04727294177830700000"
"PA",2017,4575,8366628,"13.46","54.68152761184075600000"
"PA",2018,4528,8513497,"18.42","53.18613491024898500000"
"PA",2019,3405,8602865,"15.41","39.57983764710942200000"
"PB",2012,1525,3815171,"14.34","39.97199601276063400000"
"PB",2013,1551,3914421,"14.04","39.62271814912090400000"
"PB",2014,1551,3943885,"14.82","39.32670450583625000000"
"PB",2015,1522,3972202,"15.48","38.31627898077690900000"
"PB",2016,1355,3999415,"15.04","33.87995494341047400000"
"PB",2017,1341,4025558,"16.83","33.31215200476555100000"
"PB",2018,1244,3996496,"17.51","31.12726748631801500000"
"PB",2019,953,4018127,"18.92","23.71751813718182600000"
"PE",2012,3327,8931028,"19.55","37.25215059229463800000"
"PE",2013,3124,9208550,"18.89","33.92499362005961900000"
"PE",2014,3358,9277727,"18.56","36.19421006891019800000"
"PE",2015,3847,9345173,"19","41.16563706204261800000"
"PE",2016,4447,9410336,"19.02","47.25654854406899000000"
"PE",2017,5419,9473266,"17.7","57.20308075377594200000"
"PE",2018,4190,9496294,"16.25","44.12247556783730600000"
"PE",2019,3474,9557071,"20.31","36.35004908930780200000"
"PI",2012,525,3160748,"12.81","16.60999231827402900000"
"PI",2013,598,3184166,"15.71","18.78042790482657000000"
"PI",2014,717,3194718,"14.33","22.44329546457621600000"
"PI",2015,650,3204028,"14.44","20.28696378433646600000"
"PI",2016,701,3212180,"15.46","21.82318550018990200000"
"PI",2017,626,3219257,"15.82","19.44548074291676600000"
"PI",2018,619,3264531,"16.07","18.96137607515444000000"
"PI",2019,569,3273227,"16.6","17.38345675383956000000"
"PR",2012,3489,10577755,"11.61","32.98431472462729600000"
"PR",2013,2936,10997465,"11.07","26.69706155009359000000"
"PR",2014,2980,11081692,"10.38","26.89120036904111800000"
"PR",2015,2936,11163018,"9.88","26.30113110988444200000"
"PR",2016,3080,11242720,"11.25","27.39550571391976300000"
"PR",2017,2759,11320892,"11.51","24.37087112923610600000"
"PR",2018,2443,11348937,"12.15","21.52624514525016700000"
"PR",2019,2095,11433957,"11.31","18.32261569638577400000"
"RJ",2012,4772,16231365,"14.98","29.39986871098025300000"
"RJ",2013,5111,16369179,"14.09","31.22331303237627300000"
"RJ",2014,5718,16461173,"13.58","34.73628519668677300000"
"RJ",2015,5067,16550024,"12.95","30.61626980117974500000"
"RJ",2016,6053,16635996,"14.73","36.38495705336789000000"
"RJ",2017,6416,16718956,"14.21","38.37560192155538900000"
"RJ",2018,6455,17159960,"16.43","37.61663780102051500000"
"RJ",2019,3552,17264943,"17.53","20.57348234511981900000"
"RN",2012,1124,3228198,"13.55","34.81818649289789500000"
"RN",2013,1447,3373959,"13.38","42.88730242424404100000"
"RN",2014,1602,3408510,"13.69","47.00000880149977600000"
"RN",2015,1545,3442175,"14.25","44.88441174548069200000"
"RN",2016,1854,3474998,"16.48","53.35254869211435500000"
"RN",2017,2203,3507003,"15.08","62.81716896164616900000"
"RN",2018,1825,3479010,"16.77","52.45745197628060900000"
"RN",2019,1346,3506853,"18.12","38.38199091892360500000"
"RO",2012,526,1590011,"12.1","33.08153214034368300000"
"RO",2013,483,1728214,"11.32","27.94792774505935000000"
"RO",2014,578,1748531,"9.41","33.05631984791805200000"
"RO",2015,600,1768204,"10.48","33.93273626798717800000"
"RO",2016,703,1787279,"10.74","39.33353438383151100000"
"RO",2017,554,1805788,"9.74","30.67912733942190300000"
"RO",2018,476,1757589,"12.48","27.08255456764920600000"
"RO",2019,447,1777225,"10.96","25.15157056647301300000"
"RR",2012,144,469524,"17.29","30.66935875482403500000"
"RR",2013,214,488072,"17.58","43.84598993591109500000"
"RR",2014,158,496936,"14.52","31.79483877199478400000"
"RR",2015,203,505665,"15.62","40.14515538943767100000"
"RR",2016,204,514229,"15.74","39.67104150096552300000"
"RR",2017,248,522636,"14.54","47.45176375144460000000"
"RR",2018,414,576568,"19.57","71.80419308737217500000"
"RR",2019,234,605761,"20.93","38.62909629375281700000"
"RS",2012,2382,10768025,"12.41","22.12104819593193700000"
"RS",2013,2322,11164043,"11.26","20.79891666486773700000"
"RS",2014,2724,11207274,"11.35","24.30564292440784400000"
"RS",2015,2944,11247972,"10.54","26.17360711779865700000"
"RS",2016,3225,11286500,"11.07","28.57396004075665600000"
"RS",2017,3316,11322895,"11.46","29.28579660943601400000"
"RS",2018,2699,11329605,"11.95","23.82254279827054900000"
"RS",2019,2184,11377239,"11.39","19.19622150857514700000"
"SC",2012,821,6362734,"8.95","12.90325825344891000000"
"SC",2013,789,6634254,"8.62","11.89282170987122300000"
"SC",2014,905,6727148,"7.77","13.45295212770701600000"
"SC",2015,957,6819190,"7.98","14.03392485031213400000"
"SC",2016,984,6910553,"8.27","14.23909200898972900000"
"SC",2017,1066,7001161,"7.96","15.22604608007157700000"
"SC",2018,843,7075494,"8.17","11.91436244592957000000"
"SC",2019,767,7164788,"8.29","10.70513181967142600000"
"SE",2012,879,2110867,"19.17","41.64165719583469700000"
"SE",2013,965,2195662,"19.06","43.95029836104099800000"
"SE",2014,1097,2219574,"16.15","49.42389845979453700000"
"SE",2015,1303,2242937,"16.13","58.09347297761818500000"
"SE",2016,1465,2265779,"19.62","64.65767402734335500000"
"SE",2017,1313,2288116,"17.83","57.38345433535712400000"
"SE",2018,1133,2278308,"20.9","49.72988726721760200000"
"SE",2019,973,2298696,"21.21","42.32834615799566400000"
"SP",2012,6566,41901219,"13.5","15.67018849737999300000"
"SP",2013,6035,43663669,"13.35","13.82155952125782200000"
"SP",2014,6185,44035304,"13.13","14.04554854441336400000"
"SP",2015,5427,44396484,"13.67","12.22394097694763400000"
"SP",2016,4870,44749699,"14.54","10.88275476445104100000"
"SP",2017,4631,45094866,"14.79","10.26946171655105900000"
"SP",2018,3727,45538936,"15.73","8.184205269969416940300000"
"SP",2019,3361,45919049,"14.73","7.319402455394927712900000"
"TO",2012,379,1417694,"13.29","26.73355463167651100000"
"TO",2013,349,1478164,"13.9","23.61037070311548700000"
"TO",2014,381,1496880,"12.79","25.45294211960878600000"
"TO",2015,503,1515126,"13.27","33.19855906373463300000"
"TO",2016,577,1532902,"12.13","37.64102336613821400000"
"TO",2017,557,1550194,"12.45","35.93098670230951700000"
"TO",2018,570,1555229,"14.98","36.65055114070018000000"
"TO",2019,456,1572866,"15.43","28.99166235394496400000"
